Player.ID,Position,Date,15_sec_No_Jumps,15_sec_Contact,15_sec_Flight,15_sec_Hgt,CMJ.1,CMJ.2,R_Drift_Contact,R_Drift_Flight,R_Drift_Hgt,L_Drift_Contact,L_Drift_Flight,L_Drift_Hgt
250727,G,7/24/19,,,,,,,,,,,,
190722,QB,7/24/19,20,0.239,0.534,13.8,17.1,16.5,0.431,0.386,7.2,0.423,0.388,7.3
244911,TE,7/24/19,18,0.408,0.477,11,15.8,16.9,0.477,0.338,5.5,0.564,0.326,5.1
186276,CB,7/24/19,21,0.223,0.511,12.7,18.4,18.8,0.3,0.409,8.1,0.301,0.384,7.1
254758,CB,7/24/19,24,0.213,0.438,9.3,18.2,17.5,0.347,0.327,5.2,0.347,0.325,5.1
245499,FS,7/24/19,24,0.202,0.447,9.6,14.8,14.6,0.296,0.327,5.2,0.313,0.35,5.9
172493,CB,7/24/19,16,0.396,0.586,16.6,19.8,20,0.458,0.423,8.6,0.475,0.402,7.8
253852,WR,7/24/19,20,0.268,0.535,13.8,16.9,16.7,0.309,0.365,6.5,0.315,0.349,5.9
232568,TE,7/24/19,19,0.359,0.478,11.1,14.3,14.3,0.453,0.354,6,0.45,0.354,6
175238,ILB,7/24/19,,,,,,,,,,,,
172833,QB,7/24/19,23,0.224,0.463,10.4,15.5,14.7,0.394,0.313,4.7,0.377,0.344,5.7
156561,DT,7/24/19,18,0.368,0.488,11.5,14.6,14,0.514,0.338,5.5,0.493,0.332,5.3
159048,OLB,7/24/19,,,,,,,,,,,,
152103,DT,7/24/19,24,0.278,0.375,6.8,14.9,15.8,0.465,0.283,3.9,0.419,0.314,4.7
175329,DB,7/28/19,22,0.18,0.536,13.9,18.1,17.6,0.286,0.399,7.7,0.292,0.411,8.2
271608,LB,8/1/19,18,0.317,0.557,15,19.6,21,0.423,0.377,6.9,0.426,0.37,6.6
190722,QB,8/16/19,23,0.215,0.456,10.1,14.5,15.7,0.374,0.344,5.7,0.377,0.345,5.7
190722,QB,8/14/19,22,0.272,0.453,9.9,13.8,15.1,0.465,0.332,5.3,0.437,0.276,3.7
256385,RB,8/21/19,15,0.523,0.513,12.7,12.8,14.1,0.479,0.386,7.2,0.591,0.383,7.1
256385,RB,8/23/19,16,0.465,0.549,14.6,18.4,15.9,0.511,0.399,7.7,0.49,0.407,8
140125,G,8/26/19,15,0.659,0.409,8.1,8,9.5,0.507,0.231,2.6,0.581,0.198,1.9
255660,LB,8/27/19,19,0.249,0.547,14.6,17.8,19.8,0.44,0.344,5.8,0.39,0.394,7.5
256263,DE,8/28/19,23,0.259,0.414,8.3,14.6,,0.584,0.242,2.9,0.581,0.326,5.2
238352,OL,8/30/19,26,0.241,0.353,6,13.7,13.9,0.605,0.278,3.7,0.608,0.337,5.5
140125,G,8/29/19,15,0.574,0.455,10,10.8,10.6,0.52,0.284,3.9,0.656,0.271,3.6
268317,WR,8/31/19,18,0.317,0.551,14.7,18.7,19.9,0.529,0.408,8,0.519,0.42,8.5
256263,DE,8/31/19,22,0.268,0.426,8.8,16.6,16.3,0.5,0.255,3.1,0.357,0.242,2.8
256263,DE,9/4/19,25,0.255,0.363,6.6,15.8,16.3,0.459,0.247,3,0.365,0.23,2.6
140125,G,9/4/19,,,,,,,0.419,0.291,4.1,0.397,0.268,3.5
238352,OL,9/4/19,,,,,,,0.503,0.306,4.5,0.606,0.33,5.3
256263,DE,9/7/19,21,0.324,0.417,8.5,15.4,16.1,0.387,0.199,1.9,0.373,0.222,2.4
256263,DE,9/11/19,23,0.281,0.384,7.5,,,0.396,0.204,2,0.387,0.196,1.9
255797,TE,9/11/19,16,0.447,0.547,14.5,,,0.474,0.402,7.8,0.585,0.414,8.3
252238,G,9/13/19,16,0.562,0.418,8.4,11.1,12,0.558,0.301,4.4,0.577,0.298,4.3
253872,CB,9/13/19,,,,,,,,,,,,
279870,OLB,9/13/19,16,0.48,0.532,13.7,17.1,17.1,0.559,0.397,7.6,0.577,0.397,7.6
267763,G,9/13/19,18,0.482,0.369,6.6,10.9,10.8,0.479,0.281,3.9,0.498,0.3,4.4
238375,QB,9/13/19,22,0.311,0.406,8,17,17.8,0.413,0.276,3.7,0.503,0.23,2.6
255466,CB,9/13/19,23,0.227,0.452,9.9,16.2,16.5,0.485,0.332,5.4,0.428,0.34,5.6
255583,DL,9/16/19,25,0.281,0.353,6,12,11.5,0.396,0.241,2.8,0.385,0.204,2
172493,DB,9/16/19,,,,,,,0.435,0.343,5.7,0.373,0.379,7
226095,OL,9/18/19,21,0.331,0.407,8,,,0.358,0.29,4.1,0.349,0.251,3
172493,DB,9/25/19,,,,,,,0.403,0.33,5.3,0.396,0.341,5.7
255660,OLB,9/17/19,,,,,,,,,,,,
251462,CB,9/17/19,,,,,,,,,,,,
250730,T,10/18/19,17,0.466,0.439,9.3,11.2,12.3,0.565,0.255,3.1,0.59,0.23,2.6
245454,CB,10/18/19,17,0.382,0.566,15.5,17.3,15.9,0.528,0.361,6.3,0.522,0.392,7.4
256007,CB,10/18/19,15,0.558,0.528,13.5,14.8,13.9,0.675,0.364,6.4,0.608,0.388,7.3
244913,FS,10/18/19,20,0.309,0.451,9.8,18.8,16.9,0.378,0.348,5.9,0.391,0.433,9.1
147297,TE,10/23/19,25,0.257,0.372,6.7,11.3,11.3,0.471,0.34,5.6,0.609,0.24,2.8
214759,DB,10/23/19,22,0.222,0.495,11.8,16.6,18,0.345,0.372,6.7,0.331,0.385,7.2
268097,WR,10/25/19,18,0.401,0.47,10.7,15,16.8,0.567,0.35,5.9,0.606,0.356,6.1
197051,WR,11/5/19,19,0.293,0.527,13.4,15.7,19.5,0.292,0.366,6.5,0.303,0.301,4.4
